company_id,type,rule_id,text,confidence_pct
ADANIPORTS,con,CON_99,Business performance may face future market and industry risks.,65.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
ADANIPORTS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
ADANIPOWER,con,CON_99,Business performance may face future market and industry risks.,65.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
AMBUJACEM,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss.,88.0
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
APOLLOHOSP,con,CON_99,Business performance may face future market and industry risks.,65.0
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
APOLLOHOSP,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
ASIANPAINT,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
ATGL,con,CON_99,Business performance may face future market and industry risks.,65.0
ATGL,pro,PRO_99,Company has an established market presence and long-term business potential.,65.0
AXISBANK,con,CON_01,Debt-to-equity ratio of 8.25 is elevated for a non-financial company and warrants monitoring.,92.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
AXISBANK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BAJAJ-AUTO,con,CON_99,Business performance may face future market and industry risks.,65.0
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.79 is elevated for a non-financial company and warrants monitoring.,92.0
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,90.0
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
BAJAJFINSV,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96.0
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.82 is elevated for a non-financial company and warrants monitoring.,92.0
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,90.0
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
BAJFINANCE,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated for a non-financial company and warrants monitoring.,92.0
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
BANKBARODA,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BEL,con,CON_99,Business performance may face future market and industry risks.,65.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring.,92.0
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
BHARTIARTL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BHEL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
BHEL,con,CON_12,Revenue growing below 5% over 5 years lags inflation and suggests limited business momentum.,86.0
BHEL,pro,PRO_99,Company has an established market presence and long-term business potential.,65.0
BOSCHLTD,con,CON_99,Business performance may face future market and industry risks.,65.0
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
BOSCHLTD,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96.0
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
BPCL,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss.,88.0
BPCL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
BPCL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
BRITANNIA,con,CON_99,Business performance may face future market and industry risks.,65.0
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
BRITANNIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated for a non-financial company and warrants monitoring.,92.0
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
CANBK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 6.86 is elevated for a non-financial company and warrants monitoring.,92.0
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,90.0
CHOLAFIN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
CHOLAFIN,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
CIPLA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
CIPLA,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
COALINDIA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
DIVISLAB,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
DIVISLAB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96.0
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
DIVISLAB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
DLF,con,CON_12,Revenue growing below 5% over 5 years lags inflation and suggests limited business momentum.,86.0
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
DMART,con,CON_99,Business performance may face future market and industry risks.,65.0
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
DMART,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
DMART,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
DRREDDY,con,CON_99,Business performance may face future market and industry risks.,65.0
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
DRREDDY,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
EICHERMOT,con,CON_99,Business performance may face future market and industry risks.,65.0
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
GAIL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
GAIL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year.,95.0
GODREJCP,pro,PRO_99,Company has an established market presence and long-term business potential.,65.0
GRASIM,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
GRASIM,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,90.0
GRASIM,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,88.0
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
HAL,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
HAVELLS,con,CON_99,Business performance may face future market and industry risks.,65.0
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
HCLTECH,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HCLTECH,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
HDFCBANK,con,CON_01,Debt-to-equity ratio of 6.81 is elevated for a non-financial company and warrants monitoring.,92.0
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations.,94.0
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
HDFCBANK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
HDFCLIFE,con,CON_99,Business performance may face future market and industry risks.,65.0
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HDFCLIFE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
HEROMOTOCO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
HEROMOTOCO,con,CON_12,Revenue growing below 5% over 5 years lags inflation and suggests limited business momentum.,86.0
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HEROMOTOCO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
HEROMOTOCO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
HINDALCO,con,CON_99,Business performance may face future market and industry risks.,65.0
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
HINDALCO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth.,90.0
HINDUNILVR,con,CON_99,Business performance may face future market and industry risks.,65.0
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88.0
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
ICICIBANK,con,CON_01,Debt-to-equity ratio of 6.45 is elevated for a non-financial company and warrants monitoring.,92.0
ICICIBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations.,94.0
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
ICICIBANK,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
ICICIGI,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
ICICIGI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96.0
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
ICICIPRULI,con,CON_99,Business performance may face future market and industry risks.,65.0
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
INDIGO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,86.0
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
INDIGO,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
INDIGO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
INDUSINDBK,con,CON_01,Debt-to-equity ratio of 6.89 is elevated for a non-financial company and warrants monitoring.,92.0
